score_metric draw_metric position_metric var_pow draw_pow 
749.508380038 2.715694438 234.0 1.22641980957 0.455765780258 
723.704210105 7.6439744998 236.0 1.1675781994 0.498939571802 
803.285431338 8.79061773815 236.0 1.36348272622 0.459682244226 
664.144847114 12.8297475497 236.0 1.17804063212 0.584735187529 
750.967577867 30.4336656365 238.0 1.19973976341 0.28165312447 
814.910113382 21.9109980698 240.0 1.21847176241 0.335575329468 
802.932262472 22.1674938337 240.0 1.22424190902 0.62158947925 
830.786944994 51.4110701921 240.0 1.35104204305 0.164675073723 
815.360420336 37.2110354818 242.0 1.12851459396 0.669944476394 
729.981918819 27.1070080592 244.0 1.28468888745 0.381200353899 
1174.55184076 54.42513709 244.0 1.9 0.3 
781.526326137 0.191769081894 246.0 1.28205616604 0.51664762727 
714.624364594 1.61497209294 246.0 1.22435333193 0.471632782073 
734.626047887 7.05404869639 246.0 1.22709903651 0.537213867301 
776.270995569 6.02486291 248.0 1.3 0.6 
759.130258984 14.8882914241 248.0 1.15082191522 0.599697618361 
765.559520352 21.8006465295 248.0 1.19861290306 0.398614733497 
836.002570197 22.0593208788 248.0 1.49203521916 0.752476762453 
877.58402537 17.2711613318 250.0 1.41873139514 0.746929103951 
1565.84487674 69.38513709 250.0 2.3 0.2 
1612.64904872 76.4068856102 250.0 2.39694350637 0.121946834846 
747.56090761 4.04374180583 252.0 1.19523496697 0.443258106455 
786.728239829 5.56750996338 252.0 1.18320345333 0.47698601182 
1068.7408719 14.9811995437 252.0 1.8 0.9 
771.510427128 19.5703881723 252.0 1.15924828754 0.577365693201 
781.450731955 24.2593332727 252.0 1.30089560511 0.411266608304 
868.318408774 25.0139473337 252.0 1.38371155726 0.350120138534 
898.570562383 40.5174485726 252.0 0.904684345829 0.614608857764 
887.62081595 52.7526127488 252.0 1.20154255403 0.137582624121 
1374.05325259 76.07513709 252.0 1.9 0.1 
1632.38577763 78.7140785832 252.0 2.18168544747 0.0865898848941 
766.658015594 25.3036761533 254.0 1.03082713302 0.570053515868 
763.762159008 28.7614679264 254.0 1.16694132909 0.682825422133 
870.691517801 30.7597879572 254.0 1.32792167627 0.787242605539 
917.97410332 66.61486291 254.0 1.1 0.9 
810.663152381 15.8638128427 256.0 0.993127430642 0.521116401798 
778.527409106 34.1251624496 256.0 1.03520147136 0.652743341482 
1059.2771879 61.41486291 256.0 1.3 1.0 
1552.41782335 61.56513709 256.0 2.4 0.3 
850.660242564 8.629929388 258.0 1.14948666397 0.503050944765 
769.204382703 10.6312480268 258.0 1.25609937479 0.622301698398 
767.67060813 13.2930464851 258.0 1.03253845869 0.532881156502 
799.014040939 13.7344530094 258.0 1.18293673657 0.54546885642 
716.521006539 16.4861174343 258.0 1.14705418559 0.405948784569 
763.436943075 18.4134945316 258.0 1.29056115139 0.363684764376 
788.355362223 22.2103060931 258.0 1.27480556825 0.703918725951 
871.424985013 25.7421523152 258.0 1.30541937971 0.387079114273 
868.725621184 30.8567403259 258.0 1.38006000612 0.802522027 
711.464961025 4.06468895839 260.0 1.1971302767 0.541361063559 
720.011340779 4.13306747337 260.0 1.187046135 0.433114489092 
686.283857726 11.5689098923 260.0 1.16852958009 0.522696722077 
740.953945345 19.5151084198 260.0 1.12872670511 0.600482796784 
769.471550211 20.4560946278 260.0 1.15239327246 0.323778425973 
777.453698786 20.7307161412 260.0 0.943756158768 0.53311600759 
857.840325364 29.1391296427 260.0 1.36346141007 0.319444377271 
918.62631934 41.2194593085 260.0 1.4311099395 0.244928096438 
853.608960511 0.434022989563 262.0 1.45366217308 0.557466671996 
721.4825405 1.23853646071 262.0 1.14278649631 0.445352850385 
966.416030719 1.32573114941 262.0 1.7 0.7 
767.447583751 22.0775665471 262.0 1.18514154669 0.585585125073 
861.990325102 32.4078826835 262.0 1.13734116267 0.31239029968 
806.077069445 0.165707976378 264.0 1.20016136852 0.509926716662 
809.099143694 1.47828328944 264.0 1.26341239285 0.491559474772 
760.00441951 14.689713974 264.0 1.15811030145 0.595305979879 
912.788203563 15.2195310064 264.0 1.4573593627 0.439802789521 
812.801485968 28.5188003862 264.0 1.06924218443 0.63447465414 
